Tweet ID;Retweets;Favorites;App
1293628469751021569;0;0;Gellatio Tweet Bot
1293628452562563073;0;0;Twitter for Android
1293628374439677954;0;0;Twitter for Android
1293628354206334991;0;0;Cheap Bots, Done Quick!
1293628349336571904;0;0;Twitter Web App
1293628331888451584;0;0;Twitter for iPhone
1293628294756290560;0;0;Twitter for iPad
1293628279463673856;0;0;Twitter Web App
1293628250946777088;0;0;Twitter Web App
1293628235285061633;0;0;Twitter Web App
1293628199469867008;0;0;Twitter Web App
1293628156427923456;0;0;Twitter Web App
1293628117467017216;0;0;Twitter for iPhone
1293628087326957569;0;0;Twitter for iPhone
1293628056058265601;0;0;Twitter Web App
1293628038752505856;0;0;Twitter for iPad
1293628037959909379;0;0;Twitter Web App
1293628027759452164;0;0;Twitter for iPhone
1293627984419725315;0;1;Twitter Web App
1293627874012995584;0;0;Twitter for iPhone
1293627867469766656;0;0;Twitter for Android
1293627843050692608;0;0;Twitter for iPhone
1293627838441152517;0;0;Twitter for iPhone
1293627709969575941;0;0;Twitter for iPad
1293627672178749440;0;0;Twitter for iPhone
1293627580134850560;3;38;Twitter for iPad
1293627453555052545;0;0;Twitter for Android
1293627411838402561;2;1;Twitter Web App
1293627407077965826;0;0;Twitter Web App
1293627371996827653;0;0;Twitter for Android
1293627311871336449;1;1;TweetDeck
1293627270821642240;0;0;Twitter for iPhone
1293627268900806658;0;0;Twitter Web App
1293627256951242753;1;0;Twitter Web App
1293627228534771712;0;1;Twitter for iPhone
1293627165091590150;0;2;Twitter for iPhone
1293627157114228740;0;0;Twitter Web App
1293627150197760007;0;0;Twitter for Android
1293627133659676673;15;61;Twitter for iPhone
1293627130337787906;0;0;TweetDeck
1293627113061462018;0;0;99WallStreet
1293627089556561920;2;1;Twitter Web App
1293627069017075713;0;0;Twitter Web App
1293626966759931908;0;0;Twitter for iPhone
1293626929279533056;0;0;Twitter for Android
1293626895137935362;0;0;Twitter for iPhone
1293626855648645128;0;0;Twitter for Android
1293626812233388034;0;0;Twitter Web App
1293626802812977152;0;0;Twitter Web App
1293626801441447936;0;0;Twitter for iPhone
1293626785909751808;0;1;Twitter for iPad
1293626764455968768;0;0;Twitter Web App
1293626754246955008;0;0;Twitter Web App
1293626744898019328;0;0;Twitter for Android
1293626725293797378;0;0;Twitter Web App
1293626631769264129;0;0;Twitter for iPhone
1293626581144018944;0;3;Twitter for Android
1293626512189476865;0;0;Twitter Web App
1293626446905257986;0;0;Twitter Web App
1293626294048034816;1;1;Twitter for iPhone
1293626256328503297;4;29;Twitter for iPhone
1293626145091485701;0;0;Twitter Web App
1293626066272059394;0;0;Twitter for Android
1293626024907833344;0;0;Twitter Web App
1293626001088380928;0;0;Twitter for iPad
1293625956964478986;0;0;Twitter Web App
1293625937611886594;0;0;Twitter for Android
1293625914748788736;0;0;Twitter for Android
1293625904363642886;1;2;Twitter for iPhone
1293625801980743680;0;0;TweetDeck
1293625780333928455;0;0;Twitter for Android
1293625691267883008;1;0;Twitter Web App
1293625667183992832;0;0;Twitter Web App
1293625586733195265;0;0;Twitter Web App
1293625557721198593;0;0;Twitter for Android
1293625432584015877;0;0;Twitter for Android
1293625421888737281;0;0;Twitter Web App
1293625254741499905;0;0;Twitter Web App
1293625252900216833;0;0;Twitter for Android
1293625247908999169;0;0;Twitter Web App
1293625222806016002;86;248;Twitter for iPhone
1293624990387130370;0;0;Twitter for iPhone
1293624894362591234;0;0;Twitter Web App
1293624870706851840;0;0;Twitter Web App
1293624827211849728;0;0;Twitter for iPhone
1293624825752301582;4;2;Twitter Web App
1293624736216494081;0;0;MaximBot
1293624695372361729;0;0;Tweetbot for iΟS
1293624670831419395;0;0;Twitter for Android
1293624648534556673;0;3;Twitter for iPad
1293624631698632704;0;0;Twitter Web App
1293624613813882886;0;0;Twitter for Android
1293624606238978048;0;2;Twitter for iPhone
1293624601227001859;0;0;Twitter Web App
1293624553323864065;6;12;Twitter Web App
1293624515801387008;0;0;Twitter for Android
1293613471892996097;0;0;Twitter for iPhone
1293613361670901770;0;0;Twitter Web App
1293613345413701635;0;0;Twitter for iPad
1293613261561061376;0;0;Twitter for Android
1293613247753596929;0;0;Twitter Web App
1293613247573237760;0;0;Twitter Web App
1293613138479374336;0;0;Twitter for Android
1293613127653892098;1;0;Twitter for iPhone
1293613100973735938;0;0;Twitter for Android
1293613079679442944;0;0;Twitter Web App
1293613055092445186;1;0;Twitter for iPhone
1293613035966345223;0;0;Cheap Bots, Done Quick!
1293613035299405825;0;0;Twitter Web App
1293613033458212865;0;0;Twitter for iPhone
1293613031193219073;0;0;Twitter for iPhone
1293613009303146499;0;0;Twitter for Android
1293612989279600641;0;1;Twitter for Android
1293612913404461056;0;0;Twitter for Android
1293612849777057794;0;0;Twitter for Android
1293612839958020096;0;0;Twitter for iPhone
1293612839316467719;0;0;TweetCaster for iOS
1293612838213373952;0;0;TweetCaster for iOS
1293612800221147137;0;1;Twitter for iPhone
1293612734504816641;0;0;dlvr.it
1293612715160682496;0;0;Twitter Web App
1293612582629122049;0;1;Twitter Web App
1293612565977657346;0;0;Twitter for iPhone
1293612535891914753;0;0;Twitter for Android
1293612424524894208;0;0;Twitter for iPhone
1293612338025766923;1;1;Twitter for iPhone
1293612321168859138;0;0;Twitter for Android
1293612317637312520;0;0;Twitter for iPad
1293612257277075456;0;1;Twitter Web App
1293612228915191808;0;0;Twitter for iPhone
1293612173000728578;0;0;Twitter for Android
1293612078675013632;0;0;Twitter Web App
1293612069799919616;0;0;Twitter Web App
1293612045351489536;0;0;Twitter Web App
1293612005748887554;2;3;Twitter for Android
1293611966141882368;0;1;Twitter for Android
1293611718229151744;0;0;Twitter for Android
1293611617683304449;0;1;Twitter Web App
1293611594895638528;0;0;Twitter Web App
1293611544979353601;1;5;Twitter for iPhone
1293611536280322048;0;0;Twitter for Android
1293611519368933376;0;0;Twitter Web App
1293611479946498048;0;0;Twitter for iPhone
1293611431401644033;0;0;Twitter Web App
1293611375176998912;0;0;Twitter Web App
1293611368835428354;0;0;Twitter Web App
1293611354792833024;0;0;Twitter for iPhone
1293611352947224576;0;0;Twitter Web App
1293611319682199552;0;0;Twitter Web App
1293611316377276417;0;0;Twitter for iPad
1293611289017749507;2;4;Twitter Web App
1293611271225581570;0;0;Twitter for iPhone
1293611203114278919;0;0;Twitter for Android
1293611158491074561;0;0;Twitter Web App
1293611016958304257;0;0;Twitter for iPhone
1293610998520135680;0;1;Twitter for iPhone
1293610974642155523;0;0;Twitter for Android
1293610966425509888;0;0;Twitter for Android
1293610964328370176;0;0;Twitter Web App
1293610945969881093;0;0;Twitter Web App
1293610942966706178;1;0;Twitter Web App
1293610924058636288;0;0;Twitter for Android
1293610872917524480;0;0;Twitter Web App
1293610827602440192;0;0;Twitter Web App
1293610781087371265;0;0;Twitter for iPhone
1293610750884356098;0;0;Twitter for iPhone
1293610731603136518;0;0;Twitter Web App
1293610718215000065;0;0;Twibble.io
1293610702565851138;1;2;TweetDeck
1293610671993769992;0;0;Twitter for iPhone
1293610656437067779;0;1;Twitter Web App
1293610596072488960;0;0;Twitter Web App
1293610542976753664;0;0;Twitter Web App
1293610451205595136;0;2;Twitter for iPhone
1293610438979182592;0;0;Twitter Web App
1293610427977433088;0;0;Twitter for iPhone
1293610392497934337;0;0;Twitter Web App
1293610351158845442;0;1;Twitter for iPhone
1293610248482230273;0;0;Twitter for iPhone
1293610246506676224;0;0;Twitter for iPhone
1293610236708880391;1;15;Twitter for iPhone
1293610224981598208;1;2;Twitter Web App
1293610218736287745;0;0;Twitter for iPhone
1293610129917714438;0;0;Twitter Web App
1293610059033907202;0;1;Twitter for iPhone
1293609996702355458;0;0;Twitter Web App
1293609986204065796;0;1;Twitter for iPad
1293609914783412224;6;8;Twitter Web App
1293609786316070913;0;0;Twitter Web App
1293609715482505217;0;0;dlvr.it
1293609660046389248;0;0;Twitter for Android
1293609649908985856;0;0;Twitter Web App
1293609545562910721;0;0;Twitter Web App
1293609510775459848;42;120;Sprinklr
1293609477107638273;0;1;Twitter Web App
1293609332223823874;0;0;dlvr.it
1293598310775820293;0;0;Twitter for iPad
1293598271089381376;0;0;Twitter for iPad
1293598266127335425;0;0;Revive Social App
1293598217796374529;0;0;Twitter for iPhone
1293598160636411905;0;0;Twitter Web App
