Date;Tweet Text;Tweet ID;Screen Name
12/08/2020 17:13;It so amazing you put a new head of USPS right before election Try to slow down mail There is no fraud in mail in voting You are the fraud along with your buddy Putin You will go down Jail cell is awaiting AmericasGreatestMistake RT WhiteHouse LIVE President realDonaldTrump holds a news conference;1293671938548592640;@BlomstromRobert
12/08/2020 17:12;Antarctica has oil Why haven t we invaded yet Trumps probably too busy having gay sex with Putin ;1293671837541392385;@ProjectLincolnn
12/08/2020 17:12;How soon before Trump touts Putin s vaccine VoteBidenHarris ;1293671831728271362;@baryo_j
12/08/2020 17:12; I seriously doubt that they ve done that Fauci Fauci Azar cast doubt on Putin s coronavirus vaccine claim via CBSNews;1293671791546621952;@iVoteAmerica
12/08/2020 17:12;Democrat neoliberal white liberal come back responses to criticism Bernie lost You re privileged Trump supporter MAGAt Are you a Republican Russian asset Are you working for Putin You don t care about others So you want Trump to win We don t need you ;1293671790464716801;@IamJWilliams95
12/08/2020 17:12;I wouldn t t drink a sealed bottle of fucking water that Putin or Trump sponsored RT ImpeachmentHour So Trump says the US will buy doses of an untested unproven Russian Covid vaccine Anybody see this coming ;1293671789994811392;@LALALandLeafFan
12/08/2020 17:12;Does trump appear even more desperate and terrified He knows he is gonna lose He is setting the stage for trying to say voter fraud Looks like Putin was stopped maddow ProjectLincoln MeidasTouch CREWcrew jaketapper JoyAnnReid SenateGOP senatemajldr MittRomney;1293671752933896193;@MichaelFrankie6
12/08/2020 17:12;I find it incredulous that our government is lining Putin s pockets this way Trump is absolutely a Russian asset RT ImpeachmentHour So Trump says the US will buy doses of an untested unproven Russian Covid vaccine Anybody see this coming ;1293671693928394752;@StarryGirl99654
12/08/2020 17:12;HA I wouldn t accept a S mores from Vladimir Putin ;1293671663880593411;@FabulousThomasJ
12/08/2020 17:12;He s missing out on some other rigged election that is shaking the world right now Probably hasn t got any instructions from Putin yet RT RadioFreeTom The president is referring to the coming election as the most rigged election in history the greatest fraud in history and the only thing worse is that his campaign was spied on by Obama The paranoid ramblings of a broken man ;1293671644347674627;@sankuperis
12/08/2020 17:11;Another day another press conference where DictatorTrump acts like a big man daddy like his BFF Putin PutinsPuppet TrumpCoup BidenHarris ;1293671572734193664;@autarchofTexas
12/08/2020 17:11;What you think Russia will be nice Putin don t think he will go for that no matter how much its been tightened tucked stitched She might be able to suck the chrome off a truck hitch But China and Russia North Korea might want more in an adversary RT Stonewall The left is already crying sexism in defense of Cabala Harris Why would you pick someone who you don t believe is strong enough to handle the world stage ;1293671421730869254;@WillsLyn
12/08/2020 17:11;Biden saved big bucks using payroll tax loophole via YahooFinance Russian republican fox interference Putin will NOT get a second term as president of the USA ;1293671405893156864;@AlEastmond
12/08/2020 17:11; GrifterTrump owes Putin lots of money US taxpayers are paying it back RT ImpeachmentHour So Trump says the US will buy doses of an untested unproven Russian Covid vaccine Anybody see this coming ;1293671366357647362;@Kemp4Democracy
12/08/2020 17:10;Dr Anthony Fauci told ABC News Deborah Roberts that he seriously doubts the Russian made COVID vaccine dubbed Sputnik V and touted by President Vladimir Putin has been proven safe and effective VoteOutGOP VoteOutSusanCollins VoteOutTrump ;1293671305984843777;@PinkSheepNews
12/08/2020 17:10; putin says RussianVaccine is safe just to make VP trump WhiteHouse freaking upset let s not go down that road RT wildwestleft ImpeachmentHour courageousgirl MONEY LAUNDERING VIA OUR TAX DOLLARS GOP GOPLEADER;1293671282513457152;@mooneye13_the
