Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/08/2020 17:16,@Sam_Schulman,Sam Schulman كافر| ن,"As is so often the case, Putin can't lose. RT @akoz33: Alexander Koc, one of the most trusted Kremlin propagandists, all day on Russia 1 convincingly speaks of mass peaceful protests and extremely harshly denounces the atrocities of the OMON. The Kremlin is clearly playing on two boards and weighing two options for the Anschluss.",1293672750326910978,"https://twitter.com/akoz33/status/1293625894683238401
https://twitter.com/apiontkovsky/status/1293589545863323648",,,0,0,Twitter for Android,3445,1895,158,,26/07/2009,,"Midcentury Chicago-born. Magazine midwife, scribbler(WSJ, SpectatorUK, Commentary, TWS, Mosaic), I-banker, farmer.",https://www.washingtonexaminer.com/author/sam-schulman,,View
12/08/2020 17:16,@mimilu,JoanONo! Mask Up,The GOP #ShadowTicket - Kanye and Putin.,1293672749399932929,,,,0,0,Twitter Web App,2017,3961,5,,13/02/2009,austin texas,"""Stand Up For What You Really Believe."" Keep fighting til the bastard is gone. Mamala.",,,View
12/08/2020 17:16,@PaulDray,paul Dray,"The entire media regime and the pharmaceutical criminal cartel that until yesterday praised the virtues of vaccines, today express doubts about Russia's vaccine. Putin practically turned Pro-vax fanatics into No-vax"".",1293672704340623367,,,,0,0,Twitter Web App,21,44,0,,16/03/2020,,"Truthteller, not politically correct, mens rights, single dad soon to be grand dad",,,View
12/08/2020 17:16,@PaulDray,paul Dray,"""The Russian Gamaleya institute that produced the first vaccine in the world against Covid is state-owned. It is not in the hands of Bill Gates. With this move, Putin put an end to the Covid terrorist operation in Russia. It is extraordinary.",1293672677903867904,,,,0,0,Twitter Web App,21,44,0,,16/03/2020,,"Truthteller, not politically correct, mens rights, single dad soon to be grand dad",,,View
12/08/2020 17:16,@Frass2u,🇺🇸🌊SASSY FRASS 🌊🇺🇸,"Is Putin involved in this too? 🤔 RT @franakviacorka: Weapons used by the military and KGB group ""Alpha"" injure and kill. Natalya Lubnevskaya from Nasha Niva was wounded and is now in the hospital. Another colleague from  was lucky, and the bullet passed by.",1293672621503127554,"https://twitter.com/franakviacorka/status/1293136257154011136
http://Tut.by",https://pbs.twimg.com/media/EfIkBKpXgAELkum.jpg,,1,0,Twitter for iPad,12346,12108,12,,6/07/2012,,"Historian & Farmer. ""The Lord hates liars"" & #TrumpLies a lot. Independent but NOW will #VoteBlue #TraitorTrump #TrumpTreason #TrumpRussia #CountryOverParty",,,View
12/08/2020 17:16,@boomer55u,Barry Alverson,YOU ARE SO RIGHT! NOW WE HAVE TO WORRY ABOUT THIS COVID VACCINE BUY TRUMP WANTS FROM PUTIN! RT @robreiner: The battle lines have been drawn. It’s The Union vs. The Confederacy. Its Decency vs. Cruelty. It’s Justice for All vs. Justice for the Privileged. It’s the battle for The Soul of our Nation. And Our Union will win again.,1293672616792915970,https://twitter.com/robreiner/status/1293622078050955264,,,0,0,Twitter for iPhone,6944,7440,5,,10/12/2015,"Missouri, USA","Veteran, Happily Married, Retired union Pipefitter welder, love horses, NASCAR and fishing, love animals. Really like honest straight up people. Resist",,,View
12/08/2020 17:15,@mrsoumen41996,Soumen Mukherjee,PUT IN HOPE ... ... ... #Mrsoumen #Russia #russiavaccine #putin #vaccinoCovid #Corona #CoronavirusVaccine,1293672584194560000,,https://pbs.twimg.com/media/EfQMW8mUwAEK83C.jpg,,0,1,Twitter for Android,25,927,0,,5/11/2014,Kolkata. India,DESIGN THE GRAPHIC,http://www.soumensdesignate.wordpress.com,,View
12/08/2020 17:15,@doodlebug4845,Edray,"#TrumpKillsUSPS This is the most corrupt criminal treasonous administration in our history. Between gerrymandering, closing polling places, working with Russia, nothing is off the table. Putin has us against the ropes and he’s working hard. RT @chipfranklin: Using the hashtag #TrumpKillsUSPS, let me know in the comments how you think Trump will try and rig the election. I’ll start: He’s going to delay the ballots and say we don’t have a winner and go to court for years. #TrumpKillsUSPS",1293672556642402310,https://twitter.com/chipfranklin/status/1293667628834316290,,,0,0,Twitter for iPad,3819,5002,7,,23/07/2016,,"Classic Rock, Humor, History, Politics, No DMs. LIBERAL. Sarcasm is funny too! Never Trump! #Resist Death to hypocrites!(or at least a severe thrashing)",,,View
12/08/2020 17:15,@FrankJa55485824,Frank James,Make this nightmare over in Nov!!!🌊🌊 Trump v. Putin: A Vaccine Manhood Contest  via @YahooNews,1293672537159802883,https://news.yahoo.com/trump-v-putin-vaccine-manhood-120821942.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr,,,0,2,Twitter Web App,2135,2707,4,,29/10/2019,NY,"American, lived overseas 33 years, back in 2016 to Trump WTF!! Biden / Harris will win back America's honor Trump took away!🌊🌊🌊 Pls NO DMS #bidenharris2020",,,View
12/08/2020 17:15,@FranSparks18,Fran Sparks,Is she making a threat or does she know what putin/trump plan? Judge Loudmouth. RT @MeidasTouch: CC @SecretService,1293672531417866241,"https://twitter.com/meidastouch/status/1293670139871686657
https://twitter.com/atrupar/status/1293664455616794636",,,0,0,Twitter for iPhone,687,2312,0,,14/07/2019,"North Carolina, USA","You can choose to live a joy filled life. Whatever your experiences or loses may have been, use them to grow. Care, sustain and bless.",,,View
