,Twitter Query: #VotoDeConfianza lang:es -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/08/2020 13:20,@xtopheracevedo,Chrístopher Acevedo,#AHORA Pronunciamiento del presidente del República @MartinVizcarraC tras el #VotoDeConfianza al gabinete Martos. Queda claro que la propuesta de #Cateriano fue un rotundo error. #Política #Perú,1293613467400896513,,,,0,0,Twitter for Android,1088,216,13,,3/03/2010,Tacna Perú,"MBA. Comunicador social, académico, columnista, servidor público y orgulloso padre!",,,View
12/08/2020 13:20,@jeremyfalconf,Jeremy Falcón Flores,#ConferenciaPresidente #Cuarentena Vizcarra: quiero empezar saludando la decisión del congreso de la república al dar el #VotoDeConfianza (sobre la cuestión de confianza al gabinete Martos).,1293613233845276672,,https://pbs.twimg.com/media/EfPWYARXgAE0uVp.jpg,,0,0,Twitter for Android,42,249,0,,19/10/2018,"Lima, Peru","peruano por siempre 🇵🇪, amo por siempre la música 🎶 y las noticias 📰 me gustan los retos y conseguir mis sueños y el éxito. #QuedateEnCasa",,,View
12/08/2020 13:16,@CalebSegundo,Segundo Caleb Ruiz Ramos,"Toma tu confianza, pero no te olvides que nos debes 3 caballitos de Batalla, Uno para AP, otro para APP, y otro para Podemos. #VotoDeConfianza #PeruEstaEnNuestrasManos #Peru",1293612414911623168,,,,0,0,Twitter Web App,18,26,0,,2/01/2014,"San Martin, Juanjui ","Peruano. Líder, educador conferencista .",,,View
12/08/2020 13:12,@DheysRios,Dheys Rios Acosta,"Palabras finales de Walter Martos @WalterMartosR antes de recibir el #VotoDeConfianza del @congresoperu (1/2) ""...venimos en la mañana con el gabinete a pedir la unidad por las graves dificultades y el tremendo dolor que está viviendo el pueblo peruano...""",1293611286908088321,,pic.twitter.com/HEcmVbqMtT,,1,0,Twitter for Android,216,3631,18,,16/06/2012,Lima,Ñuqa Dheysmi Kani,,,View
12/08/2020 13:10,@yturbe_,Ricardo Yturbe,"Ahora que ya acabo la novela #VotoDeConfianza, podemos hablar de cosas serias como: Los contratos del papá de Alva con el estado, Richard Swing, los cuñados, concuñados, sobrinos y compadres de Vizcarra y Mirian Morales? Ya podemos?",1293610814239322117,,,,23,47,Twitter for iPhone,8401,3657,33,,5/07/2009,"Lima, Peru","Abogado, político y activista de la justicia social. Sec. Nacional de Agrupaciones Profesionales del @APRA_Oficial CEO de @PublicoPeru",http://www.facebook.com/ryturbe,,View
12/08/2020 12:14,@1FelipeCastillo,Felipe Castillo,Recibimos a los dirigentes @Minsa_Peru y @EsSaludPeru que están luchando por su pase de Cas a 728 y 276 junto al Pdte del @congresoperu @MerinoDeLama Exigimos se ponga a debate dichos PL #CasNuncaMasEnEssalud @CNNEE #VotoDeConfianza @sunessessalud @SIPSSAPMINSA @FEDEMINSAP2,1293596789669605384,,https://pbs.twimg.com/media/EfPHaiVXYA8OPCS.jpg,,28,20,Twitter for iPhone,1152,449,11,,17/07/2012,"Los Olivos, Lima, Peru",Congresista electo del Peru 🇵🇪 Impulsor y Promotor del Desarrollo de Lima Norte,,,View
12/08/2020 11:33,@stereovilla_ves,Radio Stereo Villa,"🔴#VotoDeConfianza| El presidente de la República, Martín Vizcarra, saludó el voto de confianza obtenido por Walter Martos.",1293586530380980232,http://stereovilla.pe/congreso-otorgo-voto-de-confianza-a-gabinete-de-walter-martos/,,,0,0,Twitter Web App,1271,714,14,,1/06/2011,Perú,"Somos radio Stereo Villa de Villa El Salvador, la radio musical e informativa de Lima Sur. 📻 #StereoVilla 107.7 Fm. Suena Mejor! 🎵🎧",http://stereovilla.pe/,,View
12/08/2020 11:33,@MiguelHilarioE,Miguel Hilario,Un día después del #VotoDeConfianza 🤣 RT @MariaCespedesc: #ALERTA El @MineduPeru ha publicado la R.M.N° 298-2020 . Uno de los puntos del documento permitirá a los colegios privados subir las pensiones mensuales hasta antes de la fecha de matrícula.,1293586375221092352,https://twitter.com/MariaCespedesc/status/1293566265794199552,https://pbs.twimg.com/media/EfOXbHFWoAYp5ad.jpg,,1,0,Twitter for Android,5165,1013,26,,8/07/2010,Perú,"Miguel Hilario, Impulsando un #PerúPluralista abriendo #UnNuevoCamino. Antropólogo, Economista y Politólogo. Shipibo-Conibo graduado en Stanford y Oxford.",http://www.miguelhilario.com/,,View
12/08/2020 11:18,@MiningPress,MiningPress,Mining Press | Nuevo canon Minero: El proyecto de Martos  #canon #VotoDeConfianza @MinemPeru,1293582516872343556,https://bit.ly/2PNBzGh,https://pbs.twimg.com/media/EfORPjtXkAEWDRJ.png,,0,0,Twitter Web App,5627,3686,79,,14/08/2011,"Buenos Aires, Lima, Santiago",Mining Press y EnerNews son diarios on line especializados en Minería y en Energía. In: https://bit.ly/2KAYsux,http://www.miningpress.com,,View
12/08/2020 11:12,@manoalzadalima,Mano Alzada,"#Congreso le otorgó el #VotoDeConfianza al gabinete que preside Walter Martos: 115 a favor, 5 en contra y 4 abstenciones para un discurso que cambió las formas, pero conserva el fondo de la dirección del #Ejecutivo.",1293581117874995200,,https://pbs.twimg.com/media/EfO5KfSXkAMgIAm.jpg,,0,0,Twitter for iPhone,4737,4613,21,,30/01/2018,"Lima, Peru",Medio de comunicación alternativo y autogestionado orgullosamente independiente.,http://manoalzada.pe,,View
12/08/2020 10:55,@Agencia_Andina,Agencia Andina,"👉Presidente Martín Vizcarra lidera una nueva sesión del Consejo de Ministros, tras el #VotoDeConfianza que el Congreso le otorgó en la víspera al Gabinete Ministerial",1293576793044258826,https://bit.ly/2XWd12p,https://pbs.twimg.com/media/EfO06gTXsAAZpn2.jpg,,0,1,Twitter Web App,613800,1681,2150,✅,18/05/2009,Lima,Sigue las noticias sobre Perú y el mundo en la Agencia Peruana de Noticias Andina. También puedes seguir a @DiarioElPeruano #PrimeroMiSalud y #LávateLasManos,http://www.andina.pe,,View
12/08/2020 10:17,@judithdelamata,Judith de la Mata,"🤔 Ojalá que @MartinVizcarraC sepa aprovechar inteligentemente bien del país, el #VotoDeConfianza que ha otorgado el @congresoperu a su gabinete. RT @pcmperu: Con 115 votos a favor, el @congresoperu otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR, quien presentó la política general de Gobierno ante la representación nacional. #ElPerúPrimero",1293567337543720965,https://twitter.com/pcmperu/status/1293377888893493248,https://pbs.twimg.com/media/EfL_utVXoAAybig.jpg,,0,0,Twitter for iPhone,141,97,0,,12/07/2020,"Lima, Peru","Abogada, docente y política peruana. Miembro del Partido Aprista Peruano, fui congresista por Lima desde el 2001 hasta el 2006.",,,View
