Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
11/08/2020 21:39,@ChristianQuine,Christian Quiñe,"Le otorgan el Voto de Confianza al Gabinete de Walter Martos, pese a que es casi el mismo equipo, con el mismo plan, mismas ideas, con los mismos errores, es decir, el Congreso no soportó la presión de los medios de comunicación. #VotoDeConfianza",1293376424204795904,,,,0,0,Twitter for Android,215,5,0,,1/11/2019,"Lima, Peru","Soy lo bastante sincero, digo lo que es, lo que pienso y el problema, sí a alguien no le gusta, pues que pena.",https://www.facebook.com/cquineespinoza,,View
11/08/2020 21:38,@huamani_nelly,Nelly Huamani Machaca,"#JuntosContraLaCorrupción | Desde la bancada del #FREPAP, hoy le otorgamos el #VotoDeConfianza al Gabinete @WalterMartosR, estaremos vigilantes al trabajo articulado pensando siempre en el pueblo peruano y no solo en un grupo de minoría.",1293376350842216449,,,,1,3,Twitter for Android,1801,186,12,,8/03/2020,"Ucayali, Peru",Congresista representando a Ucayali por el Partido FREPAP,,,View
11/08/2020 21:38,@NoticiasSER,Noticias SER,"🚨 #VotoDeConfianza | Con 115 votos a favor, 5 en contra y 4 abstenciones, el @congresoperu aprobó el voto de confianza para el #GabineteMartos",1293376269422403584,,,,1,1,Twitter Web App,11468,1002,142,,3/02/2010,Perú,Servicio de Noticias de la Asociación Servicios Educativos Rurales (SER).,http://www.noticiasser.pe,,View
11/08/2020 21:37,@oscaror_coach,Oscar Osorio Rivas,Que quede claro (una vez más) quienes son los verdaderos obstruccionistas y destruccionistas del @congresoperu : aquellos que SIEMPRE votan en contra o abstención. fuente: @martinhidalgo . Ojalá q NUNCA sean mayoría pues seria la peor desgracia del Perú #VotoDeConfianza #Martos,1293375993688797185,,https://pbs.twimg.com/media/EfL92mDXYAAw6V4.jpg,,0,1,Twitter Web App,315,314,29,,13/09/2016,"Lima, Peru","Happy Human Being and very professional in my job. Opino sin odios, debato y dialogo con respeto, tolerancia, empatía y a veces con ironía.",,,View
11/08/2020 21:37,@omarcarreran,Omar Carrera N. 🇵🇪,#VotoDeConfianza a favor el Perú retoma la senda de la estabilidad política para que en unidad sumemos esfuerzo para vencer al #coronavirus y retomemos el desarrollo económico a favor de los más pobres del país. Dios nos proteja a todos.💪 RT @Agencia_Andina: Así fue la votación que otorgó el #VotoDeConfianza al Gabinete Martos,1293375958666412032,"https://twitter.com/Agencia_Andina/status/1293370551310917635
https://bit.ly/3fPooiO",https://pbs.twimg.com/media/EfL5b-yXsAAdDKJ.jpg,,0,0,Twitter for Android,777,219,22,,8/02/2012,"Lima, Peru",Demócrata e Investigador 🔁Vivienda Digna.💡Innovador Social sin miedo al cambio. Busco igualdad en zonas rurales🏘️🏗️. Lic.Comunicaciones y Master Mochilero,,,View
11/08/2020 21:35,@sucesosperu,Sucesos,Lo que dejó claro el amplio respaldo del #Congreso al gabinete de Walter #Martos fue que las bancadas apenas toleraban a Pedro #Cateriano en su retorno al poder.  @congresoperu @pcmperu #VotoDeConfianza #con115 @presidenciaperu,1293375496751915008,https://sucesos.pe/martos-recibio-amplio-voto-de-confianza-del-congreso-casi-con-mismo-gabinete-que-llevo-cateriano/,,,0,3,Twitter Web App,198162,1437,1063,,11/10/2010,Perú,Actualidad e investigación,http://www.sucesos.pe,,View
11/08/2020 21:35,@lamula,La Mula,A Martos sí le dieron luz verde -->  #VotoDeConfianza,1293375478376669185,http://ow.ly/YarC30r3WMb,,,1,4,Hootsuite Inc.,1041109,2417,1961,,6/04/2009,,Miles de periodistas ciudadanos comparten aquí sus noticias e historias. Tú publicas y nosotros lo difundimos. http://facebook.com/lamulape,http://lamula.pe,,View
11/08/2020 21:35,@JavierOB17,Javier Onofre (Desde 🏡),"¿Todo bien con el Frente Amplio? Ya va, está bien que sean antisistema y todo, ¿pero acaso son los únicos que no entendieron que en momentos de crisis es necesario ESTABILIDAD política? #VotoDeConfianza",1293375467224010753,,,,0,0,Twitter for Android,173,364,1,,13/12/2011,"Chiclayo, Peru",Periodista. Enemigo sañudo del peine y amante de los ansiolíticos musicales.,,,View
11/08/2020 21:34,@lamula,La Mula,A trabajar: #Congreso otorga confianza al Gabinete Martos -->  #VotoDeConfianza #LuzVerde,1293375334256173057,http://ow.ly/YarC30r3WMb,https://pbs.twimg.com/media/EfL-A0tXsAEzSBE.jpg,,3,3,Hootsuite Inc.,1041109,2417,1961,,6/04/2009,,Miles de periodistas ciudadanos comparten aquí sus noticias e historias. Tú publicas y nosotros lo difundimos. http://facebook.com/lamulape,http://lamula.pe,,View
11/08/2020 21:33,@Agencia_Andina,Agencia Andina,(VIDEO) 📽 Pleno del Congreso le otorga el #VotoDeConfianza al Gabinete Martos,1293375091506589697,https://bit.ly/3iwRMfl,pic.twitter.com/I8TSwHnF5h,,3,11,Twitter Web App,613716,1681,2150,✅,18/05/2009,Lima,Sigue las noticias sobre Perú y el mundo en la Agencia Peruana de Noticias Andina. También puedes seguir a @DiarioElPeruano #PrimeroMiSalud y #LávateLasManos,http://www.andina.pe,,View
